4 1 1 4 0 2 29 0 52 
0 3 1 7 0 5 56 3 27 
2 5 1 4 0 0 56 0 27 
3 1 0 4 0 0 56 0 27 
0 4 1 6 0 2 71 0 27 
0 4 1 7 0 3 56 3 36 
4 3 3 4 0 0 56 0 27 
4 3 1 4 0 1 56 0 27 
4 3 2 3 0 1 56 0 27 
0 3 2 6 0 2 71 3 36 
2 4 1 7 0 4 56 0 27 
0 6 5 6 0 0 56 3 27 
3 2 2 2 0 1 13 0 13 
5 6 1 6 0 2 71 0 27 
3 0 2 6 0 3 56 0 27 
5 4 1 6 0 0 45 1 9 
0 3 2 4 0 2 56 0 27 
0 3 3 7 0 2 16 1 26 
4 1 2 4 0 5 56 0 27 
2 5 0 6 0 2 29 4 54 
0 6 1 6 0 0 16 0 27 
3 2 3 8 0 5 56 0 27 
1 2 0 8 1 2 80 0 82 
0 2 2 6 0 3 29 3 42 
2 4 0 8 0 2 23 3 36 
3 2 4 3 0 3 56 0 27 
0 4 0 4 0 5 56 0 27 
0 5 4 2 2 5 29 0 71 
3 3 2 1 2 5 71 0 27 
3 2 4 1 2 0 56 0 27 
3 1 2 4 2 5 56 0 27 
0 6 1 4 0 5 56 0 27 
3 2 1 8 2 0 56 0 27 
3 2 2 6 2 0 42 1 64 
0 2 2 8 2 5 25 3 71 
0 3 4 2 2 5 56 0 27 
3 2 1 4 2 5 56 2 28 
0 4 4 3 2 5 56 0 27 
3 1 2 4 2 0 56 0 27 
3 2 2 2 2 0 37 0 71 
0 4 1 4 2 0 71 0 27 
2 6 0 6 2 5 71 0 27 
1 3 2 8 2 0 56 0 27 
2 3 2 5 2 5 56 3 27 
3 2 0 8 2 0 29 1 70 
0 2 1 4 0 5 56 0 27 
4 2 2 8 2 5 56 0 27 
3 1 1 4 2 5 56 0 27 
0 2 4 2 2 5 56 0 27 
3 1 1 8 2 0 11 1 13 
3 1 0 6 1 3 71 0 36 
0 4 4 1 0 1 71 0 27 
2 4 1 4 0 4 56 3 27 
5 6 0 6 0 2 56 0 27 
3 3 4 7 0 2 71 0 27 
3 2 2 4 0 2 71 0 27 
0 4 1 5 0 2 56 1 27 
0 4 4 2 0 2 56 3 34 
1 2 3 4 0 1 71 0 27 
1 2 1 7 1 3 56 0 27 
5 6 0 6 0 2 77 1 67 
0 3 0 6 0 1 67 3 16 
0 2 2 4 0 4 56 0 27 
1 4 2 7 0 5 29 0 52 
3 1 1 4 0 5 29 4 42 
0 3 0 6 0 2 56 3 34 
0 3 2 8 0 2 56 0 35 
3 1 4 6 0 5 56 0 31 
3 1 1 4 0 1 17 1 21 
4 2 2 3 0 2 0 1 60 
0 2 1 8 0 5 71 0 27 
0 6 2 1 0 4 56 3 27 
0 3 2 2 0 1 71 0 27 
0 4 2 7 0 2 56 0 27 
3 1 2 7 0 5 56 0 27 
0 2 4 5 0 5 71 0 27 
3 4 4 1 0 5 56 0 27 
3 1 1 4 0 4 56 0 27 
0 6 2 6 0 5 71 0 33 
0 3 2 4 0 4 56 3 27 
3 3 2 8 0 5 56 0 27 
3 1 2 2 0 5 71 0 27 
5 3 2 6 0 5 29 4 79 
0 4 1 4 0 2 71 0 27 
3 1 3 4 0 5 16 0 27 
0 4 2 6 0 5 16 3 32 
0 5 0 6 1 2 71 0 27 
0 5 2 6 0 5 16 0 27 
0 4 2 4 0 5 16 0 27 
2 4 4 6 0 5 58 3 71 
